Player,Tm,Pos,Type,Class,Details
David Irving,DAL,DL,Personal,probable,Irving sat out the last game due to a personal reason but is likely to be available for Sunday's contest against the Jaguars.
Taco Charlton,DAL,DE,Thumb,questionable,Charlton exited the previous game due to a thumb injury and it is uncertain if he will suit up against the Jaguars on Sunday.
Chidobe Awuzie,DAL,CB,Ankle,questionable,Awuzie was pulled from the last game with an ankle injury and may not be able to go Sunday against the Jaguars.
Joe Thomas,DAL,LB,Foot,questionable,Thomas left the last game with a foot injury and has an unclear status for Sunday's game against the Jaguars.
Terrance Williams,DAL,WR,Foot,I-R,Williams is on injured reserve while recovering from surgery to repair a right foot injury.
Travis Frederick,DAL,C,Illness,I-R,Frederick in on the injured reserve list as he has been diagnosed with a condition known as Guillain Barre Syndrome that impacts the autoimmune system. It is unknown if he will be activated in Week 15 against the Colts.
Jameill Showers,DAL,S,Knee,I-R,Showers is on injured reserve due to a torn ACL.
Marcus Martin,DAL,G,Toe,I-R,Martin has been designated for the injured reserve list due to a ligament tear in his right big toe.
Cedrick Wilson,DAL,WR,Shoulder,I-R,Wilson is on the injured reserve list due to a torn labrum in his shoulder and it is unclear if he will be activated during Week 9 against the Titans.
Deiontrez Mount,DEN,LB,Achilles,I-R,Mount has landed on injured reserve with an Achilles injury.
Su'a Cravens,DEN,S,Knee,I-R,Cravens is on the injured reserve list with a knee injury and will have to sit out at least the first eight weeks of the season.
Troy Fumagalli,DEN,TE,Groin,I-R,Fumagalli is dealing with a groin injury and has landed on the injured reserve list and it is unclear if he will be activated in time for Week 9 against the Texans.
Jordan Taylor,DEN,WR,Hip,I-R,Taylor is on the active PUP list as he is recovering from hip surgery and it is unclear if he will be available Week 7 against the Cardinals.
Jerrol Garcia-Williams,DEN,LB,Knee,I-R,Garcia-Williams is on the injured reserve list due to a torn ACL.
Tramaine Brock,DEN,DB,Groin,probable,Brock sat out the past two games with a groin injury but he is expected to suit up Sunday against the Rams.
Garett Bolles,DEN,T,Ankle,probable,Bolles has an ankle injury but is likely to be available against the Rams on Sunday.
Courtland Sutton,DEN,WR,Ankle,probable,Sutton has an ankle injury but is expected to play Sunday against the Rams.
